"Date","waterLevel","watershed","DDate","week","wday","year"
2015-05-17,0.339541666666667,"Mbogiti(T)",2015-05-17,20,0,2015
2015-05-18,0.350354166666667,"Mbogiti(T)",2015-05-18,21,1,2015
2015-05-19,0.372145833333333,"Mbogiti(T)",2015-05-19,21,2,2015
2015-05-20,0.3635625,"Mbogiti(T)",2015-05-20,21,3,2015
2015-05-21,0.367895833333333,"Mbogiti(T)",2015-05-21,21,4,2015
2015-05-22,0.3659375,"Mbogiti(T)",2015-05-22,21,5,2015
2015-05-23,0.36625,"Mbogiti(T)",2015-05-23,21,6,2015
2015-05-24,0.364583333333333,"Mbogiti(T)",2015-05-24,21,0,2015
2015-05-25,0.367145833333333,"Mbogiti(T)",2015-05-25,22,1,2015
2015-05-26,0.376104166666667,"Mbogiti(T)",2015-05-26,22,2,2015
2015-05-27,0.3313125,"Mbogiti(T)",2015-05-27,22,3,2015
2015-05-28,0.2786875,"Mbogiti(T)",2015-05-28,22,4,2015
2015-05-29,0.2685,"Mbogiti(T)",2015-05-29,22,5,2015
2015-05-30,0.279520833333333,"Mbogiti(T)",2015-05-30,22,6,2015
2015-05-31,0.274729166666667,"Mbogiti(T)",2015-05-31,22,0,2015
2015-06-01,0.272395833333333,"Mbogiti(T)",2015-06-01,23,1,2015
2015-06-02,0.309625,"Mbogiti(T)",2015-06-02,23,2,2015
2015-06-03,0.350979166666667,"Mbogiti(T)",2015-06-03,23,3,2015
2015-06-04,0.332833333333333,"Mbogiti(T)",2015-06-04,23,4,2015
2015-06-05,0.324395833333333,"Mbogiti(T)",2015-06-05,23,5,2015
2015-06-06,0.337458333333333,"Mbogiti(T)",2015-06-06,23,6,2015
2015-06-07,0.344270833333333,"Mbogiti(T)",2015-06-07,23,0,2015
2015-06-08,0.344166666666667,"Mbogiti(T)",2015-06-08,24,1,2015
2015-06-09,0.351416666666667,"Mbogiti(T)",2015-06-09,24,2,2015
2015-06-10,0.351604166666667,"Mbogiti(T)",2015-06-10,24,3,2015
2015-06-11,0.354375,"Mbogiti(T)",2015-06-11,24,4,2015
2015-06-12,0.356625,"Mbogiti(T)",2015-06-12,24,5,2015
2015-06-13,0.368645833333333,"Mbogiti(T)",2015-06-13,24,6,2015
2015-06-14,0.408,"Mbogiti(T)",2015-06-14,24,0,2015
2015-06-15,0.410458333333333,"Mbogiti(T)",2015-06-15,25,1,2015
2015-06-16,0.4130625,"Mbogiti(T)",2015-06-16,25,2,2015
2015-06-17,0.420020833333333,"Mbogiti(T)",2015-06-17,25,3,2015
2015-06-18,0.435229166666667,"Mbogiti(T)",2015-06-18,25,4,2015
2015-06-19,0.446854166666667,"Mbogiti(T)",2015-06-19,25,5,2015
2015-06-20,0.447958333333333,"Mbogiti(T)",2015-06-20,25,6,2015
